M13-1	M13-7	M13-16	M13-18	M13-23	M13-25	M13-30	M13-33	M13-35	M13-40	M13-43	M13-45	M13-47	M13-49	UC179	UC21	UC397	UC264	UC220	UC51	UC222	UC13	UC30	UC99	UC95	UC338	UC100	UC54	UC56	UC384	UC43	UC98	UC50	UC129	UC77	UC357
ENSG00000004838	9.22	20.53	20.14	28.96	22.87	20.1	16.9	27.27	21.29	37.8	18.72	15.66	35.25	26.21	22.25	16.38	17.12	26.21	21.34	16.79	23.36	10.99	23.38	28.86	27	26.6	15.2	32.63	20.98	24.21	25.15	23.4	31.51	29.8	23.35	23.73
ENSG00000004848	302.21	458.63	622.68	343.49	521.49	352.05	493.26	449.89	321.58	387.45	447.6	650.33	370.26	615.77	495.19	517.03	461.77	356.52	294.98	577.16	531.48	413.72	417.31	419.14	556.78	532.29	390.06	364.84	433.32	442.58	353.75	446.27	416.06	633.67	346.57	622.52
ENSG00000004864	372.95	437.68	536.69	408.52	417.1	328.31	476.01	473.87	352.58	405.86	411.56	318.22	490.55	480.66	489.64	429.43	375.01	384.07	408.28	415.27	403.88	352.89	399.44	455.58	380.24	447.49	435.17	447.42	451.82	458.12	468.09	421.76	481.77	374.07	403.59	400.08
ENSG00000004866	491.43	582.49	641.77	469.46	643.96	370.59	514.14	471.01	539.77	403.92	447.22	678.73	551.65	564.53	530.65	446.69	528.42	479.36	561.46	553.96	497.64	470.97	477.54	493.01	475.22	582.43	557.15	512.03	576.92	584.95	493.62	520.09	472.71	583.59	509.63	629.02
ENSG00000004897	2323.16	2391.88	2266.2	2429.46	2261.77	2383.72	2299.71	2555.77	2419.8	2156.24	2490.49	2374.6	2319.19	2268.79	2539.23	2587.1	2223.6	2522.42	2429.6	2435.56	2458.1	2184.11	2238.7	2339.1	2397.89	2395.34	2349.45	2475.86	2481.18	2154.91	2489.16	2357.52	2354.95	2266.96	2403.2	2260.15
ENSG00000004948	78.02	97.7	100.65	83.08	84.69	56.53	92.85	82.9	134.25	66.43	89.96	100.77	40.26	69.96	102.07	95.77	102.45	109.54	89.68	127.96	80.92	83.97	56.45	70.25	59.06	156.26	58.15	54.65	46.64	77.26	76.85	83.5	45.6	102.74	78.57	86.85
ENSG00000004961	1512.12	1523.95	1765.43	1628.99	1461.11	1468.89	1512.44	1679.67	1662.44	1605.01	1755.53	1654.16	1433.89	1358.95	1621.18	1444.59	1441.41	1465.7	1407.33	1703.09	1754.67	1596.42	1705.88	1510.39	1833.99	1539.71	1598.31	1656.18	1267.8	1545.76	1773.96	1585.01	1449.96	1524.54	1446.74	1603.06
ENSG00000004975	807.04	796.42	713.19	811.8	720.2	812.53	871.19	823.62	891.53	740.62	642.35	726.34	787.88	848.46	813.01	884.71	828.18	800.18	812.9	814.12	731.76	737.43	671.75	739.61	839.23	843.98	803.59	753.98	724.06	797.71	746.83	782.87	790.68	835.14	813.28	889.9
ENSG00000005007	2786.36	2521.52	2140.27	2755.36	2731.96	2561.97	2435.17	2457.07	2791.26	2346.7	2780.27	2748.03	2777.14	2288.41	2457.78	2454.16	2734.73	2605.46	2586.77	3002.85	2383.67	2717	2653.31	2277.11	2315.96	2126.5	2664.55	2867.19	2583.38	2568.37	2214.53	2559.03	2716.22	2819	2563.81	2578.58
ENSG00000005020	432.18	449.47	467.9	569.69	571.55	527.47	574.5	466.85	589.31	427.77	502.22	720.54	443.9	458.62	408.96	593.56	781.07	523.08	450.81	889.8	584.35	417.41	542.22	511.37	498.82	692.49	471.68	318.67	423.26	539.07	512.33	511.68	535.65	458.53	494.12	345.32
ENSG00000005022	1545.99	1471.19	1435.43	1340.8	1394.61	1383.9	1206.94	1629.76	1473.4	1313.87	1489.4	1378.08	1380.72	1131.65	1600.04	1518.99	1232.09	1287.29	1649.09	1302.21	1442.29	1226.27	1283.79	1469.94	1538.06	1277.87	1628.3	1435.97	1325.44	1498.44	1744.95	1424.05	1237.28	1216.9	1456.2	1460.17
ENSG00000005059	113.52	200.25	171.28	263.94	190.46	285.85	194.12	179.32	205.48	220.16	151.82	224.27	245.43	210.37	149.48	219.17	180.61	182.03	255.22	174.22	204.16	180.34	235.49	246.22	253.57	261.7	192.46	195.78	188.13	180.07	252.36	208.27	200.33	202.71	223.36	247.42
ENSG00000005073	351.93	169.89	153.65	149.46	144.31	217.26	148.88	112.41	224.87	155.55	125.54	172.78	124.88	222.22	219.41	190.98	174.34	253.78	52.44	5.29	186.12	261.23	213.61	166.96	178.59	80.61	88.42	251.04	197.03	199.28	10.05	167.58	255.18	211.02	180.68	105.08
ENSG00000005075	1847.52	1910.48	1951.97	1902.99	1875.64	1784.36	1787.15	2023.84	1819.08	2052.09	1882.64	1799.98	1810.59	2113.53	1935.05	1913.26	1322.96	1975.77	1909.74	1596.12	2010.86	1906.2	1927.64	1841.68	2127.12	1760.32	1841.84	2062	1960.3	1883.33	2030.4	1894.09	1752.1	1917.57	1852.53	1928.77
ENSG00000005100	753.7	751.23	681.31	747.43	760.92	723.66	704.81	681.16	776	596.04	755.31	796.08	700.07	758.44	758.93	637.64	666.62	627.29	840.88	690.29	726.44	694.14	756.85	785.14	625.28	756.29	763.62	713.31	692.12	728.36	796.71	726.95	789.85	736.13	742.38	731.68
ENSG00000005102	1236.62	924.91	762.55	898.95	687.77	1186.61	794.98	1260.4	1105.43	1092.63	1033.12	779.88	687.42	835.09	1541.86	730.52	763.15	1024.18	1124.22	776.99	933.45	765.75	1207.72	1067.23	1065.7	600.55	1150.68	1189.11	744.88	690.69	942.85	978.94	1060.82	805.91	984.81	969.39
ENSG00000005108	107.99	195.98	224.8	185.22	144.98	65.02	119.11	165.11	273.75	84.81	125.9	168.35	282.21	235.97	149.93	161.74	166.14	168.33	172.04	234.54	121.78	102.96	145.56	185.97	148.88	154.81	155.14	110.6	261.66	186.91	114.9	163.87	224.32	211.3	150.83	216.78
ENSG00000005156	641.54	598.87	728.89	634.93	568.85	602.81	564.72	665.99	642.35	669.56	692.52	659.98	630.56	490.78	696.96	545.29	675.94	612.67	587.3	787	717.67	618.34	699.5	630.19	684.11	532.82	591.88	584.47	584.15	571.78	583.37	629.9	572.19	657.96	565.78	610.55
ENSG00000005175	1129.92	1247.61	1226.5	1182.14	1100.39	1117.92	1205.25	1188.82	1446.07	1173.79	1200.75	1220.58	1195.78	1137.99	1219.83	1342.88	1167.29	1225.89	1276.18	1270.17	1185.2	1073.22	1184.42	1119.4	1188.59	1347.92	1187.2	1178.46	1239.24	1173.59	1113.45	1183.71	1097.2	1156.33	1195.09	1220.17
ENSG00000005187	33.85	8.96	8.96	24.87	11.15	6.25	33.35	20.33	1.93	22.7	4.28	12.06	29.96	3.42	21.37	4.62	8.46	14.77	18.67	7.21	15.85	1.16	15.94	9.11	27.6	7.45	30.8	14.99	36.14	3.8	44.12	15.37	30.79	7.15	21.28	11.06
ENSG00000005189	84.9	74.61	65.81	62.95	79.92	52.64	52.22	79.07	57.83	59.05	69.75	83.77	90.01	42.96	93.34	85.03	67.27	71.87	72.74	57.49	61.98	68.45	70.65	77.48	47.79	54.8	66.04	85.69	97.6	61.23	76.7	68.87	58.33	61.01	73.45	56.34
